경찰청,경찰서,시간대,건수
전라남도경찰청,해남경찰서,0,12
전라남도경찰청,보성경찰서,0,6
전라남도경찰청,영광경찰서,0,6
전라남도경찰청,화순경찰서,0,10
전라남도경찰청,함평경찰서,0,2
전라남도경찰청,영암경찰서,0,20
전라남도경찰청,장성경찰서,0,10
전라남도경찰청,강진경찰서,0,5
전라남도경찰청,담양경찰서,0,29
전라남도경찰청,곡성경찰서,0,2
전라남도경찰청,완도경찰서,0,10
전라남도경찰청,무안경찰서,0,15
전라남도경찰청,진도경찰서,0,7
전라남도경찰청,광양경찰서,0,38
전라남도경찰청,구례경찰서,0,6
전라남도경찰청,신안경찰서,0,1
경상북도경찰청,경주경찰서,0,67
경상북도경찰청,포항북부경찰서,0,123
경상북도경찰청,안동경찰서,0,35
경상북도경찰청,김천경찰서,0,28
경상북도경찰청,상주경찰서,0,19
경상북도경찰청,의성경찰서,0,6
경상북도경찰청,영주경찰서,0,17
경상북도경찰청,칠곡경찰서,0,55
경상북도경찰청,영천경찰서,0,21
경상북도경찰청,문경경찰서,0,16
경상북도경찰청,경산경찰서,0,54
경상북도경찰청,영덕경찰서,0,6
경상북도경찰청,예천경찰서,0,13
경상북도경찰청,봉화경찰서,0,4
경상북도경찰청,청도경찰서,0,2
경상북도경찰청,성주경찰서,0,7
경상북도경찰청,울진경찰서,0,13
경상북도경찰청,고령경찰서,0,7
경상북도경찰청,대구군위경찰서,0,3
경상북도경찰청,청송경찰서,0,3
경상북도경찰청,영양경찰서,0,4
경상북도경찰청,구미경찰서,0,169
경상북도경찰청,포항남부경찰서,0,68
경상남도경찰청,마산중부경찰서,0,21
경상남도경찰청,진주경찰서,0,57
경상남도경찰청,진해경찰서,0,43
경상남도경찰청,통영경찰서,0,53
경상남도경찰청,사천경찰서,0,21
경상남도경찰청,밀양경찰서,0,19
경상남도경찰청,김해중부경찰서,0,102
경상남도경찰청,거창경찰서,0,6
경상남도경찰청,합천경찰서,0,5
경상남도경찰청,창녕경찰서,0,10
경상남도경찰청,함양경찰서,0,8
경상남도경찰청,양산경찰서,0,57
경상남도경찰청,경남고성경찰서,0,8
경상남도경찰청,하동경찰서,0,9
경상남도경찰청,거제경찰서,0,151
경상남도경찰청,남해경찰서,0,6
경상남도경찰청,산청경찰서,0,8
경상남도경찰청,함안경찰서,0,10
경상남도경찰청,의령경찰서,0,6
경상남도경찰청,창원중부경찰서,0,79
경상남도경찰청,마산동부경찰서,0,55
경상남도경찰청,창원서부경찰서,0,54
경상남도경찰청,김해서부경찰서,0,77
제주특별자치도경찰청,제주동부경찰서,0,66
제주특별자치도경찰청,서귀포경찰서,0,53
제주특별자치도경찰청,제주서부경찰서,0,52
대구광역시경찰청,대구남부경찰서,0,20
대구광역시경찰청,대구동부경찰서,0,56
대구광역시경찰청,대구수성경찰서,0,74
대구광역시경찰청,대구달서경찰서,0,72
대구광역시경찰청,대구달성경찰서,0,44
대구광역시경찰청,대구북부경찰서,0,40
대구광역시경찰청,대구서부경찰서,0,21
대구광역시경찰청,대구중부경찰서,0,35
대구광역시경찰청,대구성서경찰서,0,96
대구광역시경찰청,대구강북경찰서,0,42
인천광역시경찰청,인천중부경찰서,0,44
인천광역시경찰청,인천미추홀경찰서,0,83
인천광역시경찰청,인천부평경찰서,0,88
인천광역시경찰청,인천남동경찰서,0,194
인천광역시경찰청,인천서부경찰서,0,130
인천광역시경찰청,인천계양경찰서,0,56
인천광역시경찰청,인천강화경찰서,0,8
인천광역시경찰청,인천연수경찰서,0,65
인천광역시경찰청,인천삼산경찰서,0,41
인천광역시경찰청,인천논현경찰서,0,39
광주광역시경찰청,광주동부경찰서,0,13
광주광역시경찰청,광주서부경찰서,0,112
광주광역시경찰청,광주남부경찰서,0,104
광주광역시경찰청,광주북부경찰서,0,84
광주광역시경찰청,광주광산경찰서,0,99
대전광역시경찰청,대전중부경찰서,0,34
대전광역시경찰청,대전동부경찰서,0,22
대전광역시경찰청,대전서부경찰서,0,52
대전광역시경찰청,대전대덕경찰서,0,22
대전광역시경찰청,대전둔산경찰서,0,41
대전광역시경찰청,대전유성경찰서,0,85
울산광역시경찰청,울산중부경찰서,0,48
울산광역시경찰청,울산남부경찰서,0,78
울산광역시경찰청,울산동부경찰서,0,24
울산광역시경찰청,울산울주경찰서,0,37
울산광역시경찰청,울산북부경찰서,0,50
경기도북부경찰청,의정부경찰서,0,95
경기도북부경찰청,고양경찰서,0,77
경기도북부경찰청,일산동부경찰서,0,76
경기도북부경찰청,남양주남부경찰서,0,65
경기도북부경찰청,파주경찰서,0,141
경기도북부경찰청,양주경찰서,0,57
경기도북부경찰청,동두천경찰서,0,9
경기도북부경찰청,구리경찰서,0,30
경기도북부경찰청,포천경찰서,0,49
경기도북부경찰청,가평경찰서,0,20
경기도북부경찰청,연천경찰서,0,4
경기도북부경찰청,일산서부경찰서,0,40
경기도북부경찰청,남양주북부경찰서,0,70
세종특별자치시경찰청,세종북부경찰서,0,19
세종특별자치시경찰청,세종남부경찰서,0,62
서울특별시경찰청,서울중부경찰서,1,12
서울특별시경찰청,서울남대문경찰서,1,6
서울특별시경찰청,서울종로경찰서,1,17
서울특별시경찰청,서울혜화경찰서,1,14
서울특별시경찰청,서울서대문경찰서,1,31
서울특별시경찰청,서울서부경찰서,1,17
서울특별시경찰청,서울용산경찰서,1,51
서울특별시경찰청,서울성북경찰서,1,21
서울특별시경찰청,서울강북경찰서,1,48
서울특별시경찰청,서울동대문경찰서,1,61
서울특별시경찰청,서울광진경찰서,1,72
서울특별시경찰청,서울마포경찰서,1,94
서울특별시경찰청,서울영등포경찰서,1,90
서울특별시경찰청,서울금천경찰서,1,38
서울특별시경찰청,서울성동경찰서,1,40
서울특별시경찰청,서울동작경찰서,1,42
서울특별시경찰청,서울중랑경찰서,1,47
서울특별시경찰청,서울관악경찰서,1,71
서울특별시경찰청,서울강남경찰서,1,97
서울특별시경찰청,서울강서경찰서,1,72
서울특별시경찰청,서울강동경찰서,1,57
서울특별시경찰청,서울송파경찰서,1,96
서울특별시경찰청,서울종암경찰서,1,17
서울특별시경찰청,서울구로경찰서,1,50
서울특별시경찰청,서울서초경찰서,1,64
서울특별시경찰청,서울양천경찰서,1,37
서울특별시경찰청,서울노원경찰서,1,66
서울특별시경찰청,서울도봉경찰서,1,23
서울특별시경찰청,서울은평경찰서,1,18
서울특별시경찰청,서울방배경찰서,1,24
서울특별시경찰청,서울수서경찰서,1,34
부산광역시경찰청,부산중부경찰서,1,4
부산광역시경찰청,부산동부경찰서,1,13
부산광역시경찰청,부산서부경찰서,1,5
부산광역시경찰청,부산남부경찰서,1,60
부산광역시경찰청,부산북부경찰서,1,29
부산광역시경찰청,부산동래경찰서,1,35
부산광역시경찰청,부산영도경찰서,1,13
부산광역시경찰청,부산해운대경찰서,1,45
부산광역시경찰청,부산진경찰서,1,38
부산광역시경찰청,부산금정경찰서,1,52
부산광역시경찰청,부산사하경찰서,1,33
부산광역시경찰청,부산연제경찰서,1,33
부산광역시경찰청,부산강서경찰서,1,33
부산광역시경찰청,부산사상경찰서,1,31
부산광역시경찰청,부산기장경찰서,1,32
경기도남부경찰청,수원중부경찰서,1,83
경기도남부경찰청,성남수정경찰서,1,31
경기도남부경찰청,평택경찰서,1,201
경기도남부경찰청,안성경찰서,1,46
경기도남부경찰청,안양동안경찰서,1,45
경기도남부경찰청,이천경찰서,1,40
경기도남부경찰청,광주경찰서,1,115
경기도남부경찰청,여주경찰서,1,37
경기도남부경찰청,용인동부경찰서,1,146
경기도남부경찰청,김포경찰서,1,94
경기도남부경찰청,양평경찰서,1,13
경기도남부경찰청,부천소사경찰서,1,17
경기도남부경찰청,오산경찰서,1,57
경기도남부경찰청,부천원미경찰서,1,344
경기도남부경찰청,광명경찰서,1,43
경기도남부경찰청,안산단원경찰서,1,96
경기도남부경찰청,과천경찰서,1,9
경기도남부경찰청,수원남부경찰서,1,128
경기도남부경찰청,군포경찰서,1,25
경기도남부경찰청,성남중원경찰서,1,42
경기도남부경찰청,분당경찰서,1,94
경기도남부경찰청,시흥경찰서,1,260
경기도남부경찰청,안산상록경찰서,1,71
경기도남부경찰청,수원서부경찰서,1,50
경기도남부경찰청,화성서부경찰서,1,92
경기도남부경찰청,의왕경찰서,1,27
경기도남부경찰청,하남경찰서,1,44
경기도남부경찰청,안양만안경찰서,1,33
경기도남부경찰청,부천오정경찰서,1,14
경기도남부경찰청,용인서부경찰서,1,60
경기도남부경찰청,화성동탄경찰서,1,95
강원특별자치도경찰청,춘천경찰서,1,51
강원특별자치도경찰청,강릉경찰서,1,40
강원특별자치도경찰청,원주경찰서,1,108
강원특별자치도경찰청,속초경찰서,1,44
강원특별자치도경찰청,삼척경찰서,1,4
강원특별자치도경찰청,영월경찰서,1,2
강원특별자치도경찰청,홍천경찰서,1,29
강원특별자치도경찰청,평창경찰서,1,7
강원특별자치도경찰청,화천경찰서,1,1
강원특별자치도경찰청,태백경찰서,1,6
강원특별자치도경찰청,정선경찰서,1,3
강원특별자치도경찰청,횡성경찰서,1,6
강원특별자치도경찰청,인제경찰서,1,8
강원특별자치도경찰청,강원고성경찰서,1,7
강원특별자치도경찰청,철원경찰서,1,5
강원특별자치도경찰청,양구경찰서,1,3
강원특별자치도경찰청,동해경찰서,1,31
충청북도경찰청,청주청원경찰서,1,79
충청북도경찰청,충주경찰서,1,39
충청북도경찰청,제천경찰서,1,30
충청북도경찰청,영동경찰서,1,5
충청북도경찰청,괴산경찰서,1,12
충청북도경찰청,보은경찰서,1,5
충청북도경찰청,음성경찰서,1,36
