사고다발지fid,사고다발지id,법정동코드,지점코드,시도시군구명,지점명,사고건수,사상자수,사망자수,중상자수,경상자수,부상신고자수,경도,위도,다발지역폴리곤
6789498,2022051,1111017500,11110001,서울특별시 종로구1,서울특별시 종로구 숭인동(신설동역교차로 부근),3,4,0,4,0,0,127.0231216,37.57543323,"{""type"":""Polygon"",""coordinates"":[[[127.02401996,37.57543323],[127.0240027,37.57529433],[127.02395158,37.57516077],[127.02386856,37.57503768],[127.02375685,37.57492979],[127.02362072,37.57484125],[127.02346541,37.57477546],[127.02329689,37.57473494],[127.02312164,37.57472126],[127.02294639,37.57473494],[127.02277787,37.57477546],[127.02262256,37.57484125],[127.02248644,37.57492979],[127.02237472,37.57503768],[127.02229171,37.57516077],[127.02224059,37.57529433],[127.02222333,37.57543323],[127.02224059,37.57557212],[127.02229171,37.57570568],[127.02237472,37.57582877],[127.02248644,37.57593666],[127.02262256,37.5760252],[127.02277787,37.57609099],[127.02294639,37.57613151],[127.02312164,37.57614519],[127.02329689,37.57613151],[127.02346541,37.57609099],[127.02362072,37.5760252],[127.02375685,37.57593666],[127.02386856,37.57582877],[127.02395158,37.57570568],[127.0240027,37.57557212],[127.02401996,37.57543323]]]}"
6792429,2022051,1114014300,11140001,서울특별시 중구1,서울특별시 중구 장충동1가(장충체육관앞 부근),3,5,0,3,2,0,127.0057856,37.55967847,"{""type"":""Polygon"",""coordinates"":[[[127.00668389,37.55967847],[127.00666663,37.55953955],[127.00661551,37.55940596],[127.0065325,37.55928285],[127.00642078,37.55917493],[127.00628465,37.55908637],[127.00612935,37.55902057],[127.00596083,37.55898004],[127.00578558,37.55896636],[127.00561032,37.55898004],[127.00544181,37.55902057],[127.0052865,37.55908637],[127.00515037,37.55917493],[127.00503866,37.55928285],[127.00495564,37.55940596],[127.00490452,37.55953955],[127.00488726,37.55967847],[127.00490452,37.5598174],[127.00495564,37.55995099],[127.00503866,37.5600741],[127.00515037,37.56018201],[127.0052865,37.56027057],[127.00544181,37.56033638],[127.00561032,37.5603769],[127.00578558,37.56039058],[127.00596083,37.5603769],[127.00612935,37.56033638],[127.00628465,37.56027057],[127.00642078,37.56018201],[127.0065325,37.5600741],[127.00661551,37.55995099],[127.00666663,37.5598174],[127.00668389,37.55967847]]]}"
6792345,2022051,1114016200,11140002,서울특별시 중구2,서울특별시 중구 신당동(약수역서울3호선 부근),3,5,0,3,2,0,127.0108062,37.55375048,"{""type"":""Polygon"",""coordinates"":[[[127.0117045,37.55375048],[127.01168724,37.55361154],[127.01163612,37.55347794],[127.01155311,37.55335482],[127.01144139,37.5532469],[127.01130526,37.55315833],[127.01114996,37.55309252],[127.01098144,37.55305199],[127.01080619,37.55303831],[127.01063093,37.55305199],[127.01046242,37.55309252],[127.01030711,37.55315833],[127.01017098,37.5532469],[127.01005926,37.55335482],[127.00997625,37.55347794],[127.00992513,37.55361154],[127.00990787,37.55375048],[127.00992513,37.55388941],[127.00997625,37.55402301],[127.01005926,37.55414614],[127.01017098,37.55425405],[127.01030711,37.55434262],[127.01046242,37.55440843],[127.01063093,37.55444896],[127.01080619,37.55446264],[127.01098144,37.55444896],[127.01114996,37.55440843],[127.01130526,37.55434262],[127.01144139,37.55425405],[127.01155311,37.55414614],[127.01163612,37.55402301],[127.01168724,37.55388941],[127.0117045,37.55375048]]]}"
6789599,2022051,1117012800,11170001,서울특별시 용산구1,서울특별시 용산구 한강로3가(한강대교북측 부근),3,9,0,4,5,0,126.96099,37.52252711,"{""type"":""Polygon"",""coordinates"":[[[126.96188832,37.52252711],[126.96187106,37.52238812],[126.96181994,37.52225446],[126.96173693,37.52213129],[126.96162521,37.52202332],[126.96148908,37.52193472],[126.96133378,37.52186888],[126.96116526,37.52182833],[126.96099,37.52181464],[126.96081475,37.52182833],[126.96064623,37.52186888],[126.96049093,37.52193472],[126.9603548,37.52202332],[126.96024308,37.52213129],[126.96016007,37.52225446],[126.96010895,37.52238812],[126.96009169,37.52252711],[126.96010895,37.52266611],[126.96016007,37.52279976],[126.96024308,37.52292294],[126.9603548,37.5230309],[126.96049093,37.52311951],[126.96064623,37.52318534],[126.96081475,37.52322589],[126.96099,37.52323958],[126.96116526,37.52322589],[126.96133378,37.52318534],[126.96148908,37.52311951],[126.96162521,37.5230309],[126.96173693,37.52292294],[126.96181994,37.52279976],[126.96187106,37.52266611],[126.96188832,37.52252711]]]}"
6789490,2022051,1120011400,11200001,서울특별시 성동구1,서울특별시 성동구 성수동1가(성수대교 부근),4,12,0,7,5,0,127.0362294,37.54357767,"{""type"":""Polygon"",""coordinates"":[[[127.03712771,37.54357767],[127.03711045,37.54343871],[127.03705933,37.54330509],[127.03697632,37.54318195],[127.0368646,37.54307402],[127.03672847,37.54298544],[127.03657316,37.54291962],[127.03640465,37.54287908],[127.03622939,37.5428654],[127.03605414,37.54287908],[127.03588562,37.54291962],[127.03573032,37.54298544],[127.03559419,37.54307402],[127.03548247,37.54318195],[127.03539946,37.54330509],[127.03534834,37.54343871],[127.03533108,37.54357767],[127.03534834,37.54371662],[127.03539946,37.54385024],[127.03548247,37.54397338],[127.03559419,37.54408131],[127.03573032,37.54416989],[127.03588562,37.54423571],[127.03605414,37.54427624],[127.03622939,37.54428993],[127.03640465,37.54427624],[127.03657316,37.54423571],[127.03672847,37.54416989],[127.0368646,37.54408131],[127.03697632,37.54397338],[127.03705933,37.54385024],[127.03711045,37.54371662],[127.03712771,37.54357767]]]}"
6789549,2022051,1120011400,11200002,서울특별시 성동구2,서울특별시 성동구 성수동1가(성동교사거리 부근),4,8,0,4,4,0,127.0441038,37.5517205,"{""type"":""Polygon"",""coordinates"":[[[127.0450021,37.5517205],[127.04498484,37.55158156],[127.04493372,37.55144796],[127.04485071,37.55132483],[127.04473899,37.5512169],[127.04460286,37.55112833],[127.04444756,37.55106252],[127.04427904,37.55102199],[127.04410379,37.55100831],[127.04392853,37.55102199],[127.04376002,37.55106252],[127.04360471,37.55112833],[127.04346858,37.5512169],[127.04335686,37.55132483],[127.04327385,37.55144796],[127.04322273,37.55158156],[127.04320547,37.5517205],[127.04322273,37.55185944],[127.04327385,37.55199304],[127.04335686,37.55211617],[127.04346858,37.55222409],[127.04360471,37.55231266],[127.04376002,37.55237847],[127.04392853,37.552419],[127.04410379,37.55243268],[127.04427904,37.552419],[127.04444756,37.55237847],[127.04460286,37.55231266],[127.04473899,37.55222409],[127.04485071,37.55211617],[127.04493372,37.55199304],[127.04498484,37.55185944],[127.0450021,37.5517205]]]}"
6789583,2022051,1120010700,11200003,서울특별시 성동구3,서울특별시 성동구 행당동(왕십리역2번출구 부근),3,4,0,3,1,0,127.0354372,37.56178184,"{""type"":""Polygon"",""coordinates"":[[[127.03633553,37.56178184],[127.03631826,37.56164292],[127.03626715,37.56150933],[127.03618413,37.56138622],[127.03607242,37.56127831],[127.03593629,37.56118976],[127.03578098,37.56112395],[127.03561246,37.56108343],[127.03543721,37.56106975],[127.03526196,37.56108343],[127.03509344,37.56112395],[127.03493813,37.56118976],[127.03480201,37.56127831],[127.03469029,37.56138622],[127.03460728,37.56150933],[127.03455616,37.56164292],[127.0345389,37.56178184],[127.03455616,37.56192076],[127.03460728,37.56205435],[127.03469029,37.56217746],[127.03480201,37.56228536],[127.03493813,37.56237392],[127.03509344,37.56243972],[127.03526196,37.56248025],[127.03543721,37.56249393],[127.03561246,37.56248025],[127.03578098,37.56243972],[127.03593629,37.56237392],[127.03607242,37.56228536],[127.03618413,37.56217746],[127.03626715,37.56205435],[127.03631826,37.56192076],[127.03633553,37.56178184]]]}"
6792452,2022051,1121510500,11215001,서울특별시 광진구1,서울특별시 광진구 자양동(영동대교북측 부근),3,9,0,5,4,0,127.0602844,37.53393507,"{""type"":""Polygon"",""coordinates"":[[[127.06118269,37.53393507],[127.06116543,37.5337961],[127.06111431,37.53366246],[127.0610313,37.5335393],[127.06091958,37.53343136],[127.06078345,37.53334276],[127.06062815,37.53327693],[127.06045963,37.5332364],[127.06028438,37.53322271],[127.06010912,37.5332364],[127.0599406,37.53327693],[127.0597853,37.53334276],[127.05964917,37.53343136],[127.05953745,37.5335393],[127.05945444,37.53366246],[127.05940332,37.5337961],[127.05938606,37.53393507],[127.05940332,37.53407404],[127.05945444,37.53420768],[127.05953745,37.53433083],[127.05964917,37.53443878],[127.0597853,37.53452737],[127.0599406,37.5345932],[127.06010912,37.53463374],[127.06028438,37.53464742],[127.06045963,37.53463374],[127.06062815,37.5345932],[127.06078345,37.53452737],[127.06091958,37.53443878],[127.0610313,37.53433083],[127.06111431,37.53420768],[127.06116543,37.53407404],[127.06118269,37.53393507]]]}"
6789539,2022051,1121510100,11215002,서울특별시 광진구2,서울특별시 광진구 중곡동(군자역사거리 부근),3,5,0,4,1,0,127.0793959,37.55707933,"{""type"":""Polygon"",""coordinates"":[[[127.08029417,37.55707933],[127.08027691,37.5569404],[127.08022579,37.55680681],[127.08014278,37.55668369],[127.08003106,37.55657577],[127.07989494,37.55648721],[127.07973963,37.5564214],[127.07957111,37.55638088],[127.07939586,37.55636719],[127.07922061,37.55638088],[127.07905209,37.5564214],[127.07889678,37.55648721],[127.07876065,37.55657577],[127.07864894,37.55668369],[127.07856592,37.55680681],[127.0785148,37.5569404],[127.07849754,37.55707933],[127.0785148,37.55721826],[127.07856592,37.55735185],[127.07864894,37.55747497],[127.07876065,37.55758289],[127.07889678,37.55767145],[127.07905209,37.55773726],[127.07922061,37.55777778],[127.07939586,37.55779146],[127.07957111,37.55777778],[127.07973963,37.55773726],[127.07989494,37.55767145],[127.08003106,37.55758289],[127.08014278,37.55747497],[127.08022579,37.55735185],[127.08027691,37.55721826],[127.08029417,37.55707933]]]}"
6792342,2022051,1121510900,11215003,서울특별시 광진구3,서울특별시 광진구 군자동(중곡주유소 부근),3,7,0,3,4,0,127.0771254,37.55815284,"{""type"":""Polygon"",""coordinates"":[[[127.0780237,37.55815284],[127.07800644,37.55801391],[127.07795532,37.55788032],[127.07787231,37.55775721],[127.07776059,37.55764929],[127.07762446,37.55756073],[127.07746916,37.55749492],[127.07730064,37.5574544],[127.07712539,37.55744071],[127.07695013,37.5574544],[127.07678162,37.55749492],[127.07662631,37.55756073],[127.07649018,37.55764929],[127.07637846,37.55775721],[127.07629545,37.55788032],[127.07624433,37.55801391],[127.07622707,37.55815284],[127.07624433,37.55829177],[127.07629545,37.55842536],[127.07637846,37.55854848],[127.07649018,37.55865639],[127.07662631,37.55874495],[127.07678162,37.55881076],[127.07695013,37.55885128],[127.07712539,37.55886497],[127.07730064,37.55885128],[127.07746916,37.55881076],[127.07762446,37.55874495],[127.07776059,37.55865639],[127.07787231,37.55854848],[127.07795532,37.55842536],[127.07800644,37.55829177],[127.0780237,37.55815284]]]}"
